"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 20 ending May 21, 2022"	"2022/20"	27	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 21 ending May 28, 2022"	"2022/21"	27	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 22 ending June 04, 2022"	"2022/22"	26	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 23 ending June 11, 2022"	"2022/23"	28	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 24 ending June 18, 2022"	"2022/24"	28	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 25 ending June 25, 2022"	"2022/25"	22	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 26 ending July 02, 2022"	"2022/26"	19	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 27 ending July 09, 2022"	"2022/27"	28	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 28 ending July 16, 2022"	"2022/28"	19	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 29 ending July 23, 2022"	"2022/29"	31	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 30 ending July 30, 2022"	"2022/30"	33	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 31 ending August 06, 2022"	"2022/31"	28	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 32 ending August 13, 2022"	"2022/32"	24	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 33 ending August 20, 2022"	"2022/33"	27	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 34 ending August 27, 2022"	"2022/34"	22	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 35 ending September 03, 2022"	"2022/35"	17	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 36 ending September 10, 2022"	"2022/36"	27	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 37 ending September 17, 2022"	"2022/37"	22	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 38 ending September 24, 2022"	"2022/38"	30	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 39 ending October 01, 2022"	"2022/39"	30	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 40 ending October 08, 2022"	"2022/40"	17	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 41 ending October 15, 2022"	"2022/41"	33	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 42 ending October 22, 2022"	"2022/42"	28	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 43 ending October 29, 2022"	"2022/43"	16	Not Applicable	Not Applicable
