MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,40-44 years,40-44,1027,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,45-49 years,45-49,1233,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,50-54 years,50-54,1855,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,55-59 years,55-59,2607,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,60-64 years ,60-64,4140,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,65-69 years,65-69,5231,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,70-74 years,70-74,6215,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,75-79 years,75-79,7217,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,80-84 years,80-84,7542,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,85-89 years,85-89,7374,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,90-94 years,90-94,5653,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,95-99 years,95-99,2643,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,100+ years,100+,599,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,< 1 year,1,354,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,1-4 years,1-4,104,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,5-9 years,5-9,54,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,10-14 years,10-14,76,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,15-19 years,15-19,265,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,20-24 years,20-24,387,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,25-29 years,25-29,512,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,30-34 years,30-34,705,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,35-39 years,35-39,880,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,40-44 years,40-44,1067,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,45-49 years,45-49,1197,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,50-54 years,50-54,1781,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,55-59 years,55-59,2614,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,60-64 years ,60-64,4141,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,65-69 years,65-69,5310,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,70-74 years,70-74,6204,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,75-79 years,75-79,7225,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,80-84 years,80-84,7563,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,85-89 years,85-89,7063,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,90-94 years,90-94,5420,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,95-99 years,95-99,2599,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,100+ years,100+,634,Not Applicable,Not Applicable
"2024 Week 27 ending July 06, 2024 (provisional)",2024/27,Not Stated,NS,0,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,< 1 year,1,356,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,1-4 years,1-4,89,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,5-9 years,5-9,49,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,10-14 years,10-14,63,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,15-19 years,15-19,237,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,20-24 years,20-24,346,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,25-29 years,25-29,459,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,30-34 years,30-34,680,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,35-39 years,35-39,823,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,40-44 years,40-44,1069,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,45-49 years,45-49,1228,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,50-54 years,50-54,1760,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,55-59 years,55-59,2531,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,60-64 years ,60-64,4198,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,65-69 years,65-69,5545,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,70-74 years,70-74,6310,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,75-79 years,75-79,7236,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,80-84 years,80-84,7477,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,85-89 years,85-89,6963,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,90-94 years,90-94,5457,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,95-99 years,95-99,2546,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,100+ years,100+,597,Not Applicable,Not Applicable
"2024 Week 28 ending July 13, 2024 (provisional)",2024/28,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,< 1 year,1,355,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,1-4 years,1-4,70,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,5-9 years,5-9,57,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,10-14 years,10-14,72,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,15-19 years,15-19,239,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,20-24 years,20-24,360,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,25-29 years,25-29,477,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,30-34 years,30-34,641,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,35-39 years,35-39,786,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,40-44 years,40-44,946,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,45-49 years,45-49,1167,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,50-54 years,50-54,1742,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,55-59 years,55-59,2602,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,60-64 years ,60-64,4060,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,65-69 years,65-69,5199,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,70-74 years,70-74,6206,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,75-79 years,75-79,7276,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,80-84 years,80-84,7412,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,85-89 years,85-89,7059,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,90-94 years,90-94,5501,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,95-99 years,95-99,2610,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,100+ years,100+,574,Not Applicable,Not Applicable
"2024 Week 29 ending July 20, 2024 (provisional)",2024/29,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,< 1 year,1,378,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,1-4 years,1-4,86,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,5-9 years,5-9,49,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,10-14 years,10-14,57,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,15-19 years,15-19,231,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,20-24 years,20-24,366,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,25-29 years,25-29,462,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,30-34 years,30-34,628,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,35-39 years,35-39,806,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,40-44 years,40-44,1013,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,45-49 years,45-49,1209,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,50-54 years,50-54,1671,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,55-59 years,55-59,2413,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,60-64 years ,60-64,3938,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,65-69 years,65-69,5278,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,70-74 years,70-74,6149,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,75-79 years,75-79,7351,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,80-84 years,80-84,7659,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,85-89 years,85-89,7276,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,90-94 years,90-94,5434,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,95-99 years,95-99,2590,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,100+ years,100+,585,Not Applicable,Not Applicable
"2024 Week 30 ending July 27, 2024 (provisional)",2024/30,Not Stated,NS,0,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,< 1 year,1,380,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,1-4 years,1-4,65,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,5-9 years,5-9,64,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,10-14 years,10-14,60,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,15-19 years,15-19,245,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,20-24 years,20-24,373,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,25-29 years,25-29,430,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,30-34 years,30-34,635,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,35-39 years,35-39,876,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,40-44 years,40-44,1054,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,45-49 years,45-49,1161,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,50-54 years,50-54,1704,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,55-59 years,55-59,2555,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,60-64 years ,60-64,4007,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,65-69 years,65-69,5293,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,70-74 years,70-74,6410,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,75-79 years,75-79,7331,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,80-84 years,80-84,7673,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,85-89 years,85-89,7162,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,90-94 years,90-94,5634,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,95-99 years,95-99,2664,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,100+ years,100+,606,Not Applicable,Not Applicable
"2024 Week 31 ending August 03, 2024 (provisional)",2024/31,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,< 1 year,1,340,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,1-4 years,1-4,60,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,5-9 years,5-9,48,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,10-14 years,10-14,76,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,15-19 years,15-19,231,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,20-24 years,20-24,350,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,25-29 years,25-29,457,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,30-34 years,30-34,622,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,35-39 years,35-39,831,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,40-44 years,40-44,1087,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,45-49 years,45-49,1195,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,50-54 years,50-54,1698,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,55-59 years,55-59,2575,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,60-64 years ,60-64,4109,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,65-69 years,65-69,5193,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,70-74 years,70-74,6159,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,75-79 years,75-79,7376,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,80-84 years,80-84,7670,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,85-89 years,85-89,7288,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,90-94 years,90-94,5537,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,95-99 years,95-99,2608,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,100+ years,100+,596,Not Applicable,Not Applicable
"2024 Week 32 ending August 10, 2024 (provisional)",2024/32,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 33 ending August 17, 2024 (provisional)",2024/33,< 1 year,1,358,Not Applicable,Not Applicable
"2024 Week 33 ending August 17, 2024 (provisional)",2024/33,1-4 years,1-4,69,Not Applicable,Not Applicable
"2024 Week 33 ending August 17, 2024 (provisional)",2024/33,5-9 years,5-9,46,Not Applicable,Not Applicable
"2024 Week 33 ending August 17, 2024 (provisional)",2024/33,10-14 years,10-14,78,Not Applicable,Not Applicable
"2024 Week 33 ending August 17, 2024 (provisional)",2024/33,15-19 years,15-19,211,Not Applicable,Not Applicable
"2024 Week 33 ending August 17, 2024 (provisional)",2024/33,20-24 years,20-24,362,Not Applicable,Not Applicable
"2024 Week 33 ending August 17, 2024 (provisional)",2024/33,25-29 years,25-29,425,Not Applicable,Not Applicable
"2024 Week 33 ending August 17, 2024 (provisional)",2024/33,30-34 years,30-34,632,Not Applicable,Not Applicable
"2024 Week 33 ending August 17, 2024 (provisional)",2024/33,35-39 years,35-39,796,Not Applicable,Not Applicable
"2024 Week 33 ending August 17, 2024 (provisional)",2024/33,40-44 years,40-44,1055,Not Applicable,Not Applicable
"2024 Week 33 ending August 17, 2024 (provisional)",2024/33,45-49 years,45-49,1135,Not Applicable,Not Applicable
"2024 Week 33 ending August 17, 2024 (provisional)",2024/33,50-54 years,50-54,1687,Not Applicable,Not Applicable
